RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
São Pedro da Aldeia ;10;49;7;2,0929;7;102.550,00
Saquarema ;10;333;39,5;1,3036;8,43;434.100,00
Silva Jardim ;15;1.490,00;129;0,9866;11,55;1.470.000,00
Sumidouro ;27;235;16;1,1811;14,69;277.550,00
Tanguá ;250;19.125,00;1.330,00;1,3506;14,38;25.830.200,00
Varre-Sai ;2;36;12;1,6667;3;60.000,00
TOTAL LARANJA ;889;71.767,46;5.303,10;1,3731;13,53;98.544.347,00
CULTURA : LIMÃO;;;;;;
Araruama ;45;6.401,00;300;1,4346;21,34;9.182.800,00
Armação dos Búzios ;3;35,2;2;2,8469;17,6;100.210,00
Bom Jardim ;30;120;6;1,6833;20;202.000,00
Cabo Frio ;8;86,5;5;2,702;17,3;233.725,00
Cachoeiras de Macacu ;70;954;48;1,4287;19,88;1.363.000,00
Carapebus ;3;22,5;4;1,64;5,63;36.900,00
Carmo ;1;3,25;0,18;1,7192;18,06;5.587,50
Duas Barras ;12;112,1;7,7;2,6471;14,56;296.740,00
Duque de Caxias ;3;39,4;3,7;2,6431;10,65;104.140,00
Engenheiro Paulo de Frontin ;3;7;0,2;0,9571;35;6.700,00
Iguaba Grande ;6;40,6;3;3,5761;13,53;145.190,00
Itaboraí ;9;128,18;7,6;1,2567;16,87;161.085,00
Itaocara ;5;78;6;1,5783;13;123.110,00
Japeri ;11;22,5;7;2,1;3,21;47.250,00
Mangaratiba ;12;224;12;2,1107;18,67;472.800,00
Maricá ;2;83,02;4,61;0,8108;18,01;67.310,00
Petrópolis ;11;222,5;19,5;1,7955;11,41;399.500,00
Piraí ;4;47,3;2,12;1,9822;22,31;93.760,00
Porciúncula ;1;770;35;2,4714;22;1.903.000,00
Queimados ;6;8,63;0,87;2,8136;9,92;24.281,50
Rio Bonito ;95;11.200,00;560;1,9857;20;22.240.000,00
Rio das Ostras ;2;15;1,5;1,9333;10;29.000,00
São Gonçalo ;22;243,02;18;2,302;13,5;559.428,90
São Pedro da Aldeia ;10;105,6;6;2,7282;17,6;288.100,00
Saquarema ;39;496;42;1,7833;11,81;884.500,00
Silva Jardim ;10;1.015,00;60;1,0512;16,92;1.067.000,00
Tanguá ;22;1.544,00;62;1,2959;24,9;2.000.900,00
TOTAL LIMÃO ;445;24.024,30;1.223,98;1,7498;19,63;42.038.017,90
CULTURA : LIXIA;;;;;;
Cachoeiras de Macacu ;3;3,6;0,6;10;6;36.000,00
Varre-Sai ;1;12;4;10;3;120.000,00
TOTAL LIXIA ;4;15,6;4,6;10;3,39;156.000,00
CULTURA : MANGA;;;;;;
Aperibé ;10;36;2;0,8;18;28.800,00
Campos dos Goytacases ;42;60;7;0,65;8,57;39.000,00
Cardoso Moreira ;1;3;2;2;1,5;6.000,00
Itaboraí ;10;156;7,2;0,8;21,67;124.800,00
Itaocara ;55;1.000,00;50;0,702;20;702.000,00
Queimados ;13;31;2,6;1,9961;11,92;61.880,00
São Fidélis ;15;185,62;12,66;1,394;14,66;258.754,00
São Francisco de Itabapoana ;3;120;6;0,5;20;60.000,00
São Gonçalo ;35;880;40;1,5531;22;1.366.750,00
Seropédica ;9;171;8;0,8327;21,38;142.400,00
TOTAL MANGA ;193;2.642,62;137,46;1,0559;19,22;2.790.384,00
CULTURA : MARACUJÁ;;;;;;
Aperibé ;3;40;2;4;20;160.000,00
Araruama ;3;29,5;6;4,0349;4,92;119.030,00
Bom Jardim ;143;770;55;1,4009;14;1.078.700,00
Cachoeiras de Macacu ;50;659;56;1,9557;11,77;1.288.800,00
Campos dos Goytacases ;34;145;7;2,16;20,71;313.200,00
Carmo ;1;8,61;0,84;2,5749;10,25;22.169,90
Cordeiro ;1;92;3,15;3,1304;29,21;288.000,00
Duas Barras ;6;34;2,1;2,3762;16,19;80.790,00
Duque de Caxias ;4;27,7;13,8;2,9592;2,01;81.970,00
Guapimirim ;6;178;40,3;1,7486;4,42;311.250,00
Macuco ;6;59,3;3,5;3,6189;16,94;214.600,00
Miguel Pereira ;5;254,26;16,07;2,838;15,82;721.590,60
Paracambi ;2;0,4;1;5;0,4;2.000,00
Paraíba do Sul ;36;396,5;30,47;3,2197;13,01;1.276.593,00
Paty do Alferes ;41;634,44;38,3;2,7095;16,57;1.719.018,90
Quissamã ;2;18,45;1,99;2,8309;9,27;52.230,00
Rio Bonito ;6;135;5;1,8889;27;255.000,00
Rio de Janeiro ;36;320,9;27,54;1,9356;11,65;621.150,00
São Francisco de Itabapoana ;35;155;47;1,9226;3,3;298.000,00
